Region,Province,Province in Pinyin,City,
SC,海南省,Hainan,琼山,
SC,海南省,Hainan,万宁,
EC,安徽省,Anhui,芜湖,
EC,安徽省,Anhui,淮南,
EC,安徽省,Anhui,马鞍山,
EC,安徽省,Anhui,蚌埠,
EC,安徽省,Anhui,淮北,
EC,安徽省,Anhui,安庆,
EC,安徽省,Anhui,毫州,
EC,安徽省,Anhui,阜阳,
EC,安徽省,Anhui,铜陵,
EC,安徽省,Anhui,宿州,
EC,安徽省,Anhui,巢湖,
EC,安徽省,Anhui,滁州,
EC,安徽省,Anhui,宣城,
EC,安徽省,Anhui,黄山,
EC,安徽省,Anhui,六安,
EC,安徽省,Anhui,池州,
EC,安徽省,Anhui,桐城,
EC,安徽省,Anhui,界首,
EC,安徽省,Anhui,天长,
EC,安徽省,Anhui,明光,
EC,安徽省,Anhui,宁国,
EC,江苏省,Jiangsu,南通,
EC,江苏省,Jiangsu,宿迁,
EC,江苏省,Jiangsu,淮阴,
EC,江苏省,Jiangsu,连云港,
EC,江苏省,Jiangsu,盐城,
EC,江苏省,Jiangsu,淮安,
EC,江苏省,Jiangsu,镇江,
EC,江苏省,Jiangsu,泰州,
EC,江苏省,Jiangsu,昆山,
EC,江苏省,Jiangsu,江阴,
EC,江苏省,Jiangsu,常熟,
EC,江苏省,Jiangsu,张家港,
EC,江苏省,Jiangsu,太仓,
EC,江苏省,Jiangsu,扬中,
EC,江苏省,Jiangsu,靖江,
EC,江苏省,Jiangsu,宜兴,
EC,江苏省,Jiangsu,姜堰,
EC,江苏省,Jiangsu,泰兴,
EC,江苏省,Jiangsu,新沂,
EC,江苏省,Jiangsu,句容,
EC,江苏省,Jiangsu,邳州,
EC,江苏省,Jiangsu,溧阳,
EC,江苏省,Jiangsu,金坛,
EC,江苏省,Jiangsu,武进,
EC,江苏省,Jiangsu,吴江,
EC,江苏省,Jiangsu,兴化,
EC,江苏省,Jiangsu,启东,
EC,江苏省,Jiangsu,如皋,
EC,江苏省,Jiangsu,通州,
EC,江苏省,Jiangsu,海门,
EC,江苏省,Jiangsu,东台,
EC,江苏省,Jiangsu,大丰,
EC,江苏省,Jiangsu,仪征,
EC,江苏省,Jiangsu,高邮,
EC,江苏省,Jiangsu,江都,
EC,江苏省,Jiangsu,丹阳,
EC,浙江省,Zhejiang,台州,
EC,浙江省,Zhejiang,绍兴,
EC,浙江省,Zhejiang,嘉兴,
EC,浙江省,Zhejiang,舟山,
EC,浙江省,Zhejiang,衢州,
EC,浙江省,Zhejiang,湖州,
EC,浙江省,Zhejiang,丽水,
EC,浙江省,Zhejiang,金华,
EC,浙江省,Zhejiang,建德,
EC,浙江省,Zhejiang,临安,
EC,浙江省,Zhejiang,富阳,
EC,浙江省,Zhejiang,慈溪,
EC,浙江省,Zhejiang,海宁,
EC,浙江省,Zhejiang,奉化,
EC,浙江省,Zhejiang,瑞安,
EC,浙江省,Zhejiang,平湖,
EC,浙江省,Zhejiang,桐乡,
EC,浙江省,Zhejiang,乐清,
EC,浙江省,Zhejiang,诸暨,
EC,浙江省,Zhejiang,上虞,
EC,浙江省,Zhejiang,嵊州,
EC,浙江省,Zhejiang,兰溪,
EC,浙江省,Zhejiang,萧山,
EC,浙江省,Zhejiang,东阳,
EC,浙江省,Zhejiang,永康,
EC,浙江省,Zhejiang,江山,
EC,浙江省,Zhejiang,温岭,
EC,浙江省,Zhejiang,龙泉,
EC,浙江省,Zhejiang,义乌,
EC,浙江省,Zhejiang,余姚,
EC,浙江省,Zhejiang,临海,
CC,湖北省,Hubei,宜昌,
CC,湖北省,Hubei,十堰,
CC,湖北省,Hubei,襄樊,
CC,湖北省,Hubei,荆州,
CC,湖北省,Hubei,荆门,
CC,湖北省,Hubei,鄂州,
CC,湖北省,Hubei,随州,
CC,湖北省,Hubei,孝感,
CC,湖北省,Hubei,咸宁,
CC,湖北省,Hubei,黄冈,
CC,湖北省,Hubei,黄石,
CC,湖北省,Hubei,潜江,
CC,湖北省,Hubei,枣阳,
CC,湖北省,Hubei,大治,
CC,湖北省,Hubei,汉川,
CC,湖北省,Hubei,麻城,
CC,湖北省,Hubei,丹江口,
CC,湖北省,Hubei,石首,
CC,湖北省,Hubei,洪湖,
CC,湖北省,Hubei,武穴,
CC,湖北省,Hubei,广水,
CC,湖北省,Hubei,松滋,
CC,湖北省,Hubei,宜都,
CC,湖北省,Hubei,当阳,
CC,湖北省,Hubei,赤壁,
CC,湖北省,Hubei,恩施,
CC,湖北省,Hubei,枝江,
CC,湖北省,Hubei,老河口,
CC,湖北省,Hubei,宜城,
CC,湖北省,Hubei,仙桃,
CC,湖北省,Hubei,利川,
CC,湖北省,Hubei,钟祥,
CC,湖北省,Hubei,应城,
CC,湖北省,Hubei,安陆,
CC,湖北省,Hubei,天门,
CC,湖南省,Hunan,岳阳,
CC,湖南省,Hunan,株洲,
CC,湖南省,Hunan,湘潭,
CC,湖南省,Hunan,衡阳,
CC,湖南省,Hunan,常德,
CC,湖南省,Hunan,永州,
CC,湖南省,Hunan,郴州,
CC,湖南省,Hunan,益阳,
CC,湖南省,Hunan,娄底,
CC,湖南省,Hunan,邵阳,
CC,湖南省,Hunan,怀化,
CC,湖南省,Hunan,张家界,
CC,湖南省,Hunan,浏阳,
CC,湖南省,Hunan,醴陵,
CC,湖南省,Hunan,湘乡,
CC,湖南省,Hunan,韶山,
CC,湖南省,Hunan,耒阳,
CC,湖南省,Hunan,常宁,
CC,湖南省,Hunan,武冈,
CC,湖南省,Hunan,汨罗,
CC,湖南省,Hunan,临湘,
CC,湖南省,Hunan,沅江,
CC,湖南省,Hunan,津市,
CC,湖南省,Hunan,资兴,
CC,湖南省,Hunan,洪江,
CC,湖南省,Hunan,冷水江,
CC,湖南省,Hunan,涟源,
CC,湖南省,Hunan,吉首,
CC,江西省,Jiangxi,九江,
CC,江西省,Jiangxi,萍乡,
CC,江西省,Jiangxi,新余,
CC,江西省,Jiangxi,景德镇,
CC,江西省,Jiangxi,赣州,
CC,江西省,Jiangxi,宜春,
CC,江西省,Jiangxi,上饶,
CC,江西省,Jiangxi,吉安,
CC,江西省,Jiangxi,鹰潭,
CC,江西省,Jiangxi,乐平,
CC,江西省,Jiangxi,瑞昌,
CC,江西省,Jiangxi,贵溪,
CC,江西省,Jiangxi,德兴,
CC,江西省,Jiangxi,井冈山,
CC,江西省,Jiangxi,瑞金,
CC,江西省,Jiangxi,南康,
CC,江西省,Jiangxi,樟树,
CC,江西省,Jiangxi,丰城,
CC,江西省,Jiangxi,高安,
NW,甘肃省,Gansu,白银,
NW,甘肃省,Gansu,天水,
NW,甘肃省,Gansu,武威,
NW,甘肃省,Gansu,金昌,
NW,甘肃省,Gansu,嘉峪关,
NW,甘肃省,Gansu,酒泉,
NW,甘肃省,Gansu,平凉,
NW,甘肃省,Gansu,张掖,
NW,甘肃省,Gansu,玉门,
NW,甘肃省,Gansu,临夏,
NW,甘肃省,Gansu,敦煌,
NW,甘肃省,Gansu,西峰,
NW,甘肃省,Gansu,合作,
NW,宁夏,Ningxia,石嘴山,
NW,宁夏,Ningxia,吴忠,
NW,宁夏,Ningxia,固原,
NW,宁夏,Ningxia,青铜峡,
NW,宁夏,Ningxia,灵武,
NW,青海省,Qinghai,格尔木,
NW,青海省,Qinghai,德令哈,
NW,陕西省,Shanxi,宝鸡,
NW,陕西省,Shanxi,咸阳,
NW,陕西省,Shanxi,渭南,
NW,陕西省,Shanxi,汉中,
NW,陕西省,Shanxi,安康,
NW,陕西省,Shanxi,铜川,
NW,陕西省,Shanxi,延安,
NW,陕西省,Shanxi,榆林,
NW,陕西省,Shanxi,商洛,
NW,陕西省,Shanxi,兴平,
NW,陕西省,Shanxi,韩城,
NW,陕西省,Shanxi,华阴,
NW,新疆,Xinjiang,克拉玛依,
NW,新疆,Xinjiang,库尔勒,
NW,新疆,Xinjiang,石河子,
NW,新疆,Xinjiang,博乐,
NW,新疆,Xinjiang,乌苏,
NW,新疆,Xinjiang,哈密,
NW,新疆,Xinjiang,吐鲁番,
NW,新疆,Xinjiang,昌吉,
NW,新疆,Xinjiang,米泉,
NW,新疆,Xinjiang,奎屯,
NW,新疆,Xinjiang,伊宁,
NW,新疆,Xinjiang,塔城,
NW,新疆,Xinjiang,阿勒泰,
NW,新疆,Xinjiang,阿克苏,
NW,新疆,Xinjiang,阿图什,
NW,新疆,Xinjiang,喀什,
NW,新疆,Xinjiang,和田,
NW,新疆,Xinjiang,阜康,
SW,贵州省,Guizhou,遵义,
SW,贵州省,Guizhou,六盘水,
SW,贵州省,Guizhou,安顺,
SW,贵州省,Guizhou,都匀,
SW,贵州省,Guizhou,凯里,
SW,贵州省,Guizhou,铜仁,
SW,贵州省,Guizhou,清镇,
SW,贵州省,Guizhou,赤水,
SW,贵州省,Guizhou,毕节,
SW,贵州省,Guizhou,仁怀,
SW,贵州省,Guizhou,福泉,
SW,贵州省,Guizhou,兴义,
SW,四川省,Sichuan,绵阳,
SW,四川省,Sichuan,攀枝花,
SW,四川省,Sichuan,自贡,
SW,四川省,Sichuan,泸州,
SW,四川省,Sichuan,宜宾,
SW,四川省,Sichuan,南充,
SW,四川省,Sichuan,乐山,
SW,四川省,Sichuan,德阳,
SW,四川省,Sichuan,内江,
SW,四川省,Sichuan,遂宁,
SW,四川省,Sichuan,资阳,
SW,四川省,Sichuan,眉山,
SW,四川省,Sichuan,广元,
SW,四川省,Sichuan,广安,
SW,四川省,Sichuan,巴中,
SW,四川省,Sichuan,达州,
SW,四川省,Sichuan,雅安,
SW,四川省,Sichuan,西昌,
SW,四川省,Sichuan,都江堰,
SW,四川省,Sichuan,彭州,
SW,四川省,Sichuan,邛崃,
SW,四川省,Sichuan,崇州,
SW,四川省,Sichuan,广汉,
SW,四川省,Sichuan,什邡,
SW,四川省,Sichuan,绵竹,
SW,四川省,Sichuan,江油,
SW,四川省,Sichuan,简阳,
SW,四川省,Sichuan,峨嵋山,
SW,四川省,Sichuan,阆中,
SW,四川省,Sichuan,万源,
SW,四川省,Sichuan,华蓥,
SW,西藏,Xicang,拉萨,
SW,西藏,Xicang,日喀则,
SW,云南省,Yunnan,玉溪,
SW,云南省,Yunnan,曲靖,
SW,云南省,Yunnan,保山,
SW,云南省,Yunnan,昭通,
SW,云南省,Yunnan,大理,
SW,云南省,Yunnan,个旧,
SW,云南省,Yunnan,思茅,
SW,云南省,Yunnan,景洪,
SW,云南省,Yunnan,安宁,
SW,云南省,Yunnan,宣威,
SW,云南省,Yunnan,楚雄,
SW,云南省,Yunnan,瑞丽,
SW,云南省,Yunnan,开远,
SW,云南省,Yunnan,潞西,
SW,云南省,Yunnan,德宏,
SW,重庆市,Zhongqing,合川,
SW,重庆市,Zhongqing,永川,
SW,重庆市,Zhongqing,江津,
SW,重庆市,Zhongqing,南川,
